15905,L,1,0,0,0
15930,L,1,0,0,0
15970,L,1,0,0,0
16011,L,1,0,0,0
16050,L,1,0,0,0
16090,L,1,-0.01,0,0
16130,L,1,-0.01,0,0
16170,L,1,-0.01,0,0
16210,L,1,-0.01,0,0
16250,L,1,-0.01,0,0
16290,L,1,-0.01,0,0
16330,L,1,-0.01,0,0
16370,L,1,-0.02,0,0
16410,L,1,-0.02,0,0
16450,L,1,-0.02,0,0
16490,L,1,-0.02,0,0
16530,L,1,-0.02,0,0
16570,L,1,-0.02,-0.01,0
16610,L,1,-0.02,-0.01,0
16650,L,1,-0.03,-0.01,0.01
16690,L,1,-0.03,-0.01,0.01
16730,L,1,-0.03,-0.01,0.01
16770,L,1,-0.03,-0.01,0.01
16810,L,1,-0.04,-0.01,0.01
16850,L,1,-0.04,-0.01,0.01
16890,L,1,-0.04,-0.01,0.01
16930,L,1,-0.04,-0.01,0
16970,L,1,-0.04,-0.01,0
17011,L,1,-0.05,-0.01,0
17051,L,1,-0.05,-0.01,0
17091,L,1,-0.05,-0.01,0
17131,L,1,-0.05,-0.01,0
17171,L,1,-0.05,-0.01,0
17210,L,1,-0.05,-0.01,0
17251,L,1,-0.05,-0.01,0
17291,L,1,-0.06,-0.01,0
17331,L,1,-0.06,-0.01,0
17371,L,1,-0.06,-0.01,0
17411,L,1,-0.06,-0.01,0
17451,L,1,-0.06,-0.01,0
17491,L,1,-0.06,-0.01,0
17531,L,1,-0.06,-0.01,0
17571,L,1,-0.06,-0.01,0
17611,L,1,-0.06,-0.01,0
17651,L,1,-0.06,-0.01,0
17691,L,1,-0.06,-0.01,0
17731,L,1,-0.07,-0.01,0
17771,L,1,-0.07,-0.01,0
17811,L,1,-0.07,-0.01,0
17851,L,1,-0.07,-0.01,0
17891,L,1,-0.07,-0.01,0
17931,L,1,-0.07,-0.01,0
17971,L,1,-0.07,-0.01,0.01
18011,L,1,-0.07,-0.01,0.01
18051,L,1,-0.07,-0.01,0.01
18091,L,1,-0.08,-0.01,0.01
18131,L,1,-0.08,-0.01,0
18171,L,1,-0.08,-0.01,0
18211,L,1,-0.08,-0.01,0
18251,L,1,-0.08,-0.02,0
18291,L,1,-0.08,-0.02,0
18331,L,1,-0.08,-0.02,0
18371,L,1,-0.08,-0.02,0
18411,L,1,-0.08,-0.02,0
18451,L,1,-0.08,-0.02,0
18491,L,1,-0.08,-0.02,0
18531,L,1,-0.08,-0.02,0
18571,L,1,-0.08,-0.02,-0.01
18611,L,1,-0.08,-0.02,-0.01
